"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-05-31,274772,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",0,328200,-0.0185406698564593,-0.0366891693572058,0.039265357821406,0.114348523306798,0.0629750910150979,"2019-02","2019-Q1",340700,-0.0366891693572058,"2018-12"
2019-05-31,192689,"Paradise","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",1,262000,-0.00606980273141123,-0.00832702498107494,0.0866860223973455,0.10658258780594,0.053554702250149,"2006-07","2006-Q3",299100,-0.124038783015714,"2005-02"
2019-05-31,270958,"Upper West Side","NY","New York-Newark-Jersey City","New York County","New York",2,1290800,-0.00905880546599109,-0.0246335197219284,-0.0796434937611408,-0.00131183413452174,0.0268759666959983,"2017-07","2017-Q3",1475000,-0.124881355932203,"2014-05"
2019-05-31,118208,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",3,487100,0.00370904595095817,0.00682100041339396,0.053416955017301,0.109516913143791,0.0653663146585626,"2019-05","2019-Q2",487100,0,"2019-05"
2019-05-31,270957,"Upper East Side","NY","New York-Newark-Jersey City","New York County","New York",4,1249300,-0.00967102655568767,-0.0232976311469002,-0.0986291486291486,0.00138248635219318,0.0195394591496831,"2017-06","2017-Q2",1398600,-0.106749606749607,"2014-06"
2019-05-31,192820,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",5,225400,-0.00309597523219814,-0.000886524822695035,0.134373427277302,0.123175871045034,0.0660490947448562,"2006-09","2006-Q3",259400,-0.131071703932151,"2005-07"
2019-05-31,192796,"Spring Valley","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",6,275600,-0.00541320822807651,-0.0107681263460158,0.0632716049382716,0.0991354386604428,0.0564790839429139,"2006-06","2006-Q2",315400,-0.126188966391883,"2004-12"
2019-05-31,268496,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",7,399200,0.00452944136889784,0.0188871873404798,0.0936986301369863,0.106019148141038,0.0661405940048363,"2007-04","2007-Q2",400400,-0.002997002997003,"2007-03"
2019-05-31,194430,"East New York","NY","New York-Newark-Jersey City","Kings County","New York",8,435100,-0.00389194139194139,-0.0149422685080371,0.0632942326490714,0.0811868547495895,0.0314928642263812,"2018-12","2018-Q4",444800,-0.0218075539568345,"2018-10"
2019-05-31,112547,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",9,342000,-0.0026246719160105,-0.0026246719160105,0.0458715596330275,0.0569263317976725,0.0452962130795931,"2006-05","2006-Q2",363600,-0.0594059405940594,"2005-11"
2019-05-31,198687,"Washington Heights","NY","New York-Newark-Jersey City","New York County","New York",10,648200,-0.0193645990922844,-0.0289138576779026,0.0356286946796613,0.0377399485214978,,"2018-11","2018-Q4",672900,-0.0367067914994799,"2018-09"
